,num_candidates,num_voters,prob_model,voting_method,condorcet_efficiency,error,num_samples,percent_condorcet_winner,percent_condorcet_winner_error
117,6,1000,Mallows,Instant Runoff,0.8750644263477992,0.01326184578339451,15160,0.5766427778894362,0.003216443903805599
118,6,1000,Mallows,Coombs,0.8740336047830121,0.013308220860064113,15160,0.5766427778894362,0.003216443903805599
119,6,1000,Mallows,Bucklin,0.6969384599525822,0.018391784132383626,15160,0.5766427778894362,0.003216443903805599
120,3,10,Plackett-Luce,Plurality,0.8691893968497887,0.01850958053315599,8912,0.576822717219844,0.0031774829850437225
121,3,10,Plackett-Luce,Borda,0.9861698040722243,0.006548955003183532,8912,0.576822717219844,0.0031774829850437225
122,3,10,Plackett-Luce,Instant Runoff,0.969842489435267,0.00948980595548965,8912,0.576822717219844,0.0031774829850437225
123,3,10,Plackett-Luce,Coombs,1.0,0.000708331315141586,8912,0.576822717219844,0.0031774829850437225
124,3,10,Plackett-Luce,Bucklin,0.8421052631578947,0.01999993677852996,8912,0.576822717219844,0.0031774829850437225
125,3,100,Plackett-Luce,Plurality,0.7854245538128718,0.018844959077425782,9316,0.5821245336737985,0.003132990890632459
126,3,100,Plackett-Luce,Borda,0.9336127636560303,0.011483951711712903,9316,0.5821245336737985,0.003132990890632459
127,3,100,Plackett-Luce,Instant Runoff,0.9656571119524067,0.008439156560040018,9316,0.5821245336737985,0.003132990890632459
128,3,100,Plackett-Luce,Coombs,0.9709302325581395,0.007796808664572108,9316,0.5821245336737985,0.003132990890632459
129,3,100,Plackett-Luce,Bucklin,0.7449972958355868,0.019999321719599394,9316,0.5821245336737985,0.003132990890632459
130,3,1000,Plackett-Luce,Plurality,0.7634335464562645,0.01956318632331766,8460,0.588347238643854,0.0030920283093920364
131,3,1000,Plackett-Luce,Borda,0.9089919738811046,0.013286133532544042,8460,0.588347238643854,0.0030920283093920364
132,3,1000,Plackett-Luce,Instant Runoff,0.9636784111005305,0.008692896554895801,8460,0.588347238643854,0.0030920283093920364
133,3,1000,Plackett-Luce,Coombs,0.9597333696095769,0.009126627506869767,8460,0.588347238643854,0.0030920283093920364
134,3,1000,Plackett-Luce,Bucklin,0.7473813086654877,0.019999202341131284,8460,0.588347238643854,0.0030920283093920364
135,4,10,Plackett-Luce,Plurality,0.7655892448512586,0.019999553759874278,14762,0.5841630401743682,0.003039575539050765
136,4,10,Plackett-Luce,Borda,0.9681064073226545,0.008384366678238275,14762,0.5841630401743682,0.003039575539050765
137,4,10,Plackett-Luce,Instant Runoff,0.9417906178489702,0.011120862557042033,14762,0.5841630401743682,0.003039575539050765
138,4,10,Plackett-Luce,Coombs,0.9811212814645309,0.00652931216102004,14762,0.5841630401743682,0.003039575539050765
139,4,10,Plackett-Luce,Bucklin,0.7920480549199085,0.019166019308911486,14762,0.5841630401743682,0.003039575539050765
140,4,100,Plackett-Luce,Plurality,0.670081490104773,0.01999982593230143,12417,0.587367350951141,0.0029905648673628216
141,4,100,Plackett-Luce,Borda,0.9025611175785797,0.012658907193401903,12417,0.587367350951141,0.0029905648673628216
142,4,100,Plackett-Luce,Instant Runoff,0.9316647264260768,0.010788935242821984,12417,0.587367350951141,0.0029905648673628216
143,4,100,Plackett-Luce,Coombs,0.9350407450523865,0.010540948797787886,12417,0.587367350951141,0.0029905648673628216
144,4,100,Plackett-Luce,Bucklin,0.7497089639115251,0.01843530990952813,12417,0.587367350951141,0.0029905648673628216
145,4,1000,Plackett-Luce,Plurality,0.6465021966880703,0.019999514699284404,11376,0.5924906757784967,0.0029449548722331187
146,4,1000,Plackett-Luce,Borda,0.8779993240959784,0.013728826327780164,11376,0.5924906757784967,0.0029449548722331187
147,4,1000,Plackett-Luce,Instant Runoff,0.9262138109721753,0.01098971840275298,11376,0.5924906757784967,0.0029449548722331187
148,4,1000,Plackett-Luce,Coombs,0.9311704404641208,0.010646288961813632,11376,0.5924906757784967,0.0029449548722331187
149,4,1000,Plackett-Luce,Bucklin,0.7432691224512786,0.018284822280500435,11376,0.5924906757784967,0.0029449548722331187
150,5,10,Plackett-Luce,Plurality,0.690917851120212,0.019998716812629436,20916,0.5833878541068607,0.002885058770975668
151,5,10,Plackett-Luce,Borda,0.9625391471934474,0.008292305186415994,20916,0.5833878541068607,0.002885058770975668
152,5,10,Plackett-Luce,Instant Runoff,0.9236328595519152,0.011546897408923895,20916,0.5833878541068607,0.002885058770975668
153,5,10,Plackett-Luce,Coombs,0.9682004336304505,0.007672344670066167,20916,0.5833878541068607,0.002885058770975668
154,5,10,Plackett-Luce,Bucklin,0.8360635991327391,0.01604648506399531,20916,0.5833878541068607,0.002885058770975668
155,5,100,Plackett-Luce,Plurality,0.5734147882873394,0.019999938433473474,15492,0.584369124600419,0.002835581126638176
156,5,100,Plackett-Luce,Borda,0.8981461975984832,0.012273086902216401,15492,0.584369124600419,0.002835581126638176
157,5,100,Plackett-Luce,Instant Runoff,0.8988835053718138,0.012233956223600684,15492,0.584369124600419,0.002835581126638176
158,5,100,Plackett-Luce,Coombs,0.9114177375184327,0.01153651421972779,15492,0.584369124600419,0.002835581126638176
159,5,100,Plackett-Luce,Bucklin,0.7040235938487466,0.018467560019167495,15492,0.584369124600419,0.002835581126638176
160,5,1000,Plackett-Luce,Plurality,0.5658101730466701,0.0199995877338619,13384,0.5879526436185561,0.0027920387313048467
161,5,1000,Plackett-Luce,Borda,0.8693235448348191,0.013634523876624227,13384,0.5879526436185561,0.0027920387313048467
162,5,1000,Plackett-Luce,Instant Runoff,0.9021499737808075,0.012031992636865385,13384,0.5879526436185561,0.0027920387313048467
163,5,1000,Plackett-Luce,Coombs,0.8998426848453067,0.012156305056521877,13384,0.5879526436185561,0.0027920387313048467
164,5,1000,Plackett-Luce,Bucklin,0.692396434189827,0.018629103802704106,13384,0.5879526436185561,0.0027920387313048467
165,6,10,Plackett-Luce,Plurality,0.6382694023193577,0.019998455018059413,26698,0.5746260971513673,0.0027292843740612804
166,6,10,Plackett-Luce,Borda,0.953835860838537,0.00879923137194527,26698,0.5746260971513673,0.0027292843740612804
167,6,10,Plackett-Luce,Instant Runoff,0.9014272970561998,0.012450255076414507,26698,0.5746260971513673,0.0027292843740612804
168,6,10,Plackett-Luce,Coombs,0.9466993755575379,0.009411153577200349,26698,0.5746260971513673,0.0027292843740612804
169,6,10,Plackett-Luce,Bucklin,0.8274977698483497,0.015749286146189534,26698,0.5746260971513673,0.0027292843740612804
170,6,100,Plackett-Luce,Plurality,0.527812241521919,0.01999922309014046,17579,0.5738044066959732,0.0026836175596952616
171,6,100,Plackett-Luce,Borda,0.8882340777502068,0.01266158503341519,17579,0.5738044066959732,0.0026836175596952616
172,6,100,Plackett-Luce,Instant Runoff,0.8816170388751033,0.012979652934917096,17579,0.5738044066959732,0.0026836175596952616
173,6,100,Plackett-Luce,Coombs,0.8869933829611248,0.012722253219734858,17579,0.5738044066959732,0.0026836175596952616
174,6,100,Plackett-Luce,Bucklin,0.6931348221670802,0.018483693034897608,17579,0.5738044066959732,0.0026836175596952616
175,6,1000,Plackett-Luce,Plurality,0.489326595854388,0.019999572813010735,15329,0.5754798717862907,0.0026437200933252525
176,6,1000,Plackett-Luce,Borda,0.8592348148912035,0.013946397730639548,15329,0.5754798717862907,0.0026437200933252525
177,6,1000,Plackett-Luce,Instant Runoff,0.8772816334948953,0.013163837601700479,15329,0.5754798717862907,0.0026437200933252525
178,6,1000,Plackett-Luce,Coombs,0.8754253892956585,0.013248290307652177,15329,0.5754798717862907,0.0026437200933252525
179,6,1000,Plackett-Luce,Bucklin,0.6953697019696814,0.018422224072915383,15329,0.5754798717862907,0.0026437200933252525
180,3,10,Euclidean,Plurality,0.8761274804570054,0.01848177845682375,8489,0.5756697740056119,0.002622932445937365
181,3,10,Euclidean,Borda,0.9845660452996593,0.007053590475586846,8489,0.5756697740056119,0.002622932445937365
182,3,10,Euclidean,Instant Runoff,0.9729404690318701,0.009212890405777219,8489,0.5756697740056119,0.002622932445937365
183,3,10,Euclidean,Coombs,1.0,0.0007391292857727993,8489,0.5756697740056119,0.002622932445937365
184,3,10,Euclidean,Bucklin,0.8502705953096813,0.019999747577021276,8489,0.5756697740056119,0.002622932445937365
185,3,100,Euclidean,Plurality,0.7881906825568797,0.018772040860450256,9256,0.5793695790294044,0.002597923610761277
186,3,100,Euclidean,Borda,0.9375677139761647,0.01117341058548249,9256,0.5793695790294044,0.002597923610761277
187,3,100,Euclidean,Instant Runoff,0.965465872156013,0.008468379023331973,9256,0.5793695790294044,0.002597923610761277
188,3,100,Euclidean,Coombs,0.9676327193932828,0.008212107646675015,9256,0.5793695790294044,0.002597923610761277
189,3,100,Euclidean,Bucklin,0.7456663055254604,0.019998492356531394,9256,0.5793695790294044,0.002597923610761277
190,3,1000,Euclidean,Plurality,0.762529338671821,0.019735223440150884,8223,0.5837660955624135,0.0025751012816044305
191,3,1000,Euclidean,Borda,0.9110865663399144,0.013247654321450475,8223,0.5837660955624135,0.0025751012816044305
192,3,1000,Euclidean,Instant Runoff,0.9661742371945327,0.00846822651540402,8223,0.5837660955624135,0.0025751012816044305
193,3,1000,Euclidean,Coombs,0.9617561783791246,0.008974601380159819,8223,0.5837660955624135,0.0025751012816044305
194,3,1000,Euclidean,Bucklin,0.7530028993510977,0.019999137369167697,8223,0.5837660955624135,0.0025751012816044305
195,4,10,Euclidean,Plurality,0.7637268847795163,0.0199993563763029,15146,0.5806368595047032,0.002543859167518203
196,4,10,Euclidean,Borda,0.9704125177809388,0.008068416524507516,15146,0.5806368595047032,0.002543859167518203
197,4,10,Euclidean,Instant Runoff,0.9452347083926032,0.010781209119180013,15146,0.5806368595047032,0.002543859167518203
198,4,10,Euclidean,Coombs,0.9813655761024183,0.006470768380119507,15146,0.5806368595047032,0.002543859167518203
199,4,10,Euclidean,Bucklin,0.8058321479374111,0.01863319641274852,15146,0.5806368595047032,0.002543859167518203
200,4,100,Euclidean,Plurality,0.6664351047817529,0.019999979368748422,12536,0.5829329402098387,0.00251479972467894
201,4,100,Euclidean,Borda,0.9056385318976496,0.0124460345431473,12536,0.5829329402098387,0.00251479972467894
202,4,100,Euclidean,Instant Runoff,0.930531434525877,0.010840537105930803,12536,0.5829329402098387,0.00251479972467894
203,4,100,Euclidean,Coombs,0.9312261201806182,0.010790789848834303,12536,0.5829329402098387,0.00251479972467894
204,4,100,Euclidean,Bucklin,0.7551233067037165,0.01825125813350814,12536,0.5829329402098387,0.00251479972467894
